S		11012	2020	PROGRAMACIONDEGASTOS
D	2.1.01.03.01.01.03.01	1	20	024	022	7016	2500000.00	0.00	0.00	0.00	0.00	-0.00	0.00	0.00	2500000.00	856900.00	0.00
D	2.1.01.03.01.01.03.01	1	20	024	024	7016	2500000.00	0.00	0.00	0.00	0.00	-0.00	0.00	0.00	2500000.00	1400700.00	0.00
D	2.1.01.03.01.03.03	1	20	024	022	7016	2500000.00	0.00	0.00	0.00	0.00	-0.00	0.00	0.00	2500000.00	1556900.00	0.00
D	2.1.01.03.01.03.03	1	20	024	024	7016	2500000.00	0.00	0.00	0.00	0.00	-0.00	0.00	0.00	2500000.00	1829200.00	0.00
D	2.1.01.03.01.03.09	1	20	024	022	7016	23100000.00	0.00	0.00	0.00	19400000.00	-0.00	0.00	0.00	42500000.00	32420528.00	0.00
D	2.1.01.03.01.03.09	1	20	024	024	7016	29318000.00	0.00	0.00	0.00	0.00	23000000.00	0.00	0.00	6318000.00	30562.00	0.00
D	2.1.01.03.03.01.01	1	20	024	024	7016	402943000.00	300000000.00	0.00	0.00	0.00	-0.00	0.00	0.00	702943000.00	632771825.00	0.00
D	2.1.01.03.03.01.03	1	20	024	022	7016	151150000.00	0.00	0.00	0.00	0.00	7500000.00	0.00	0.00	143650000.00	128892526.00	0.00
D	2.1.01.03.03.01.03	1	20	024	024	7016	109270000.00	0.00	0.00	0.00	29600000.00	-0.00	0.00	0.00	138870000.00	133206151.00	0.00
D	2.1.01.03.03.01.05	1	20	024	022	7016	4000000.00	0.00	0.00	0.00	1500000.00	1500000.00	0.00	0.00	4000000.00	3129466.00	0.00
D	2.1.01.03.03.01.05	1	20	024	024	7016	4000000.00	0.00	0.00	0.00	1000000.00	2000000.00	0.00	0.00	3000000.00	2351512.00	0.00
D	2.1.01.03.03.03	1	20	024	022	7016	74749000.00	0.00	0.00	0.00	14000000.00	-0.00	0.00	0.00	88749000.00	84648474.00	0.00
D	2.1.01.03.03.03	1	20	024	024	7016	42100000.00	0.00	0.00	0.00	0.00	14900000.00	0.00	0.00	27200000.00	16074629.00	0.00
D	2.1.01.93	1	20	024	021	7016	0.00	1158263657.00	0.00	0.00	0.00	-0.00	0.00	0.00	1158263657.00	189231658.00	0.00
D	2.1.02.01.01	1	20	024	022	7016	36000000.00	0.00	0.00	0.00	0.00	-0.00	0.00	0.00	36000000.00	35644536.00	0.00
D	2.1.02.01.01	1	20	024	024	7016	24000000.00	0.00	0.00	0.00	0.00	-0.00	0.00	0.00	24000000.00	17876978.00	0.00
D	2.1.02.01.01	1	20	036	024	7016	0.00	40000000.00	0.00	0.00	0.00	-0.00	0.00	0.00	40000000.00	0.00	0.00
D	2.1.02.01.03	1	20	024	001	7016	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
D	2.1.02.01.03	1	20	024	022	7016	72329000.00	0.00	23670000.00	0.00	0.00	15000000.00	0.00	0.00	33659000.00	30103676.00	0.00
D	2.1.02.01.03	1	20	024	024	7016	51552000.00	0.00	27435850.00	0.00	0.00	11000000.00	0.00	0.00	13116150.00	13116150.00	0.00
D	2.1.02.01.05	1	20	024	022	7016	73000000.00	0.00	5696101.00	0.00	6000000.00	5000000.00	0.00	0.00	68303899.00	63234421.00	0.00
D	2.1.02.01.05	1	20	024	024	7016	51000000.00	0.00	1796661.00	0.00	24000000.00	3000000.00	0.00	0.00	70203339.00	68687950.00	0.00
D	2.1.02.01.98	1	20	024	022	7016	70000000.00	0.00	5232103.00	0.00	0.00	-0.00	0.00	0.00	64767897.00	54776327.00	0.00
D	2.1.02.01.98	1	20	024	024	7016	71000000.00	0.00	4767897.00	0.00	0.00	22000000.00	0.00	0.00	44232103.00	41928356.00	0.00
D	2.1.02.02.01	1	20	024	022	7016	10000000.00	0.00	3877760.00	0.00	0.00	0.00	0.00	0.00	6122240.00	6122240.00	0.00
D	2.1.02.02.01	1	20	024	024	7016	10000000.00	0.00	4059780.00	0.00	0.00	-0.00	0.00	0.00	5940220.00	5940220.00	0.00
D	2.1.02.02.03	1	20	024	022	7016	23000000.00	0.00	15600000.00	0.00	0.00	-0.00	0.00	0.00	7400000.00	4067994.00	0.00
D	2.1.02.02.03	1	20	024	024	7016	2000000.00	0.00	1000000.00	0.00	0.00	-0.00	0.00	0.00	1000000.00	343299.00	0.00
D	2.1.02.02.05	1	20	024	022	7016	22080000.00	0.00	5174730.00	0.00	0.00	-0.00	0.00	0.00	16905270.00	11450180.00	0.00
D	2.1.02.02.05	1	20	024	024	7016	22080000.00	0.00	15825270.00	0.00	0.00	-0.00	0.00	0.00	6254730.00	6254730.00	0.00
D	2.1.02.02.07	1	20	024	022	7016	29820000.00	0.00	0.00	0.00	0.00	-0.00	0.00	0.00	29820000.00	29810030.00	0.00
D	2.1.02.02.07	1	20	024	024	7016	19880000.00	0.00	0.00	0.00	0.00	-0.00	0.00	0.00	19880000.00	19108000.00	0.00
D	2.1.02.02.09	1	20	024	022	7016	75466000.00	0.00	0.00	0.00	15000000.00	-0.00	0.00	0.00	90466000.00	89409569.00	0.00
