S	233915238	10112	2021	PERSONAL_Y_COSTOS_DE_PLANTA
D	1.12	005	030	SUPERNUMERARIO OPERATIVO 15	31	31	V6	1000015.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		1213576.00	0.00	0.00	1062677.00		0.00		0.00	0.00		0.00
D	1.12	020	031	SUPERNUMERARIO OPERATIVO 16	4	4	V6	945578.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00			0.00	0.00	401780.00		0.00	228578.00	0.00	0.00	401780.00	0.00
D	1.12	100	032	SUPERNUMERARIO ADMINISTRATIVO 01	1	1	V6	900550.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		177423.00	0.00	0.00	1725893.00		0.00	863002.00	0.00	0.00	1725893.00	0.00
D	1.12	071	035	SUPERNUMERARIO ADMINISTRATIVO 04	1	1	V6	1500000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		301620.00	0.00	0.00	261246.00		0.00		0.00	0.00		0.00
D	1.12	012	041	SUPERNUMERARIO ADMINISTRATIVO 16	3	3	V6	945578.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		493237.00	0.00	0.00	1308783.00		0.00	651558.00	0.00	0.00	1308781.00	0.00
D	1.12	005	044	SUPERNUMERARIO ADMINISTRATIVO 10	1	1	V6	1979321.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00			0.00	0.00	291400.00		0.00		0.00	0.00		0.00
D	1.12	022	045	SUPERNUMERARIO ADMINISTRATIVO 19	1	1	V6	2150000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00			0.00	0.00	1612500.00		0.00	806250.00	0.00	0.00	1612500.00	0.00
D	1.12	033	046	SUPERNUMERARIO ADMINISTRATIVO 20	8	8	V6	1000015.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		106454.00	0.00	0.00			0.00		0.00	0.00		0.00
D	1.12	027	047	SUPERNUMERARIO ADMINISTRATIVO 08	1	1	V6	1900000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		1096476.00	0.00	0.00	2177195.00		0.00	526016.00	0.00	0.00	1052032.00	0.00
D	1.12	088	050	SUPERNUMERARIO ADMINISTRATIVO 	1	1	V6	1600000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		1156800.00	0.00	0.00	2585838.00		0.00	1172045.00	0.00	0.00	2344090.00	0.00
