S,233915238,10112,2021,
18010000,2021/02/22,2021000001,EMPRESA DE SERVICIOS PUBLICOS DOMICILIARIOS DE DUITAMA S.A. E.S.P,Recaudo disponibilidad inicial,3379253368.33,,EJP
18010000,2021/11/03,2021000001,EMPRESA DE SERVICIOS PUBLICOS DOMICILIARIOS DE DUITAMA S.A. E.S.P,INCORPORACION RECAUDO SUPERAVIT AÑO 2020 SEGUN CERTIFICACION TESORERIA DE FECHA 27 AGOSTO DE 2021 Y  RES.382 / 3 DE NOV.2021,4319062280.5,,SAV
12501.1.02.05.001.06.01.01 800301,2021/02/02,2021000018,EMPRESA DE SERVICIOS PUBLICOS DOMICILIARIOS DE DUITAMA S.A. E.S.P,RECAUDOS DIARIOS SERVICIOS PUBLICOS,18881544,0,240720,282129873,710253287,15070000269,24519768541,58500029174,179770000752,440101055101,RSP
12501.1.02.05.001.06.01.01 800301,2021/02/03,2021000019,EMPRESA DE SERVICIOS PUBLICOS DOMICILIARIOS DE DUITAMA S.A. E.S.P,RECAUDOS DIARIOS SERVICIOS PUBLICOS,16352501,282129873,710253287,15070000269,24519768541,58500029174,179770000752,440101055101,RSP
12501.1.02.05.001.06.01.01 800301,2021/02/04,2021000020,EMPRESA DE SERVICIOS PUBLICOS DOMICILIARIOS DE DUITAMA S.A. E.S.P,RECAUDOS DIARIOS SERVICIOS PUBLICOS,14908645,0,240720,282129873,710253287,15070000269,24519768541,58500029174,179770000752,440101055101,RSP
12501.1.02.05.001.06.01.01 800301,2021/02/05,2021000021,EMPRESA DE SERVICIOS PUBLICOS DOMICILIARIOS DE DUITAMA S.A. E.S.P,RECAUDOS DIARIOS SERVICIOS PUBLICOS,16850289,0,240720,282129873,710253287,15070000269,24519768541,58500029174,179770000752,440101055101,RSP
12501.1.02.05.001.06.01.01 800301,2021/02/08,2021000022,EMPRESA DE SERVICIOS PUBLICOS DOMICILIARIOS DE DUITAMA S.A. E.S.P,RECAUDOS DIARIOS SERVICIOS PUBLICOS,12609419,0,240720,282129873,710253287,15070000269,24519768541,58500029174,179770000752,440101055101,RSP
12501.1.02.05.001.06.01.01 800301,2021/02/09,2021000023,EMPRESA DE SERVICIOS PUBLICOS DOMICILIARIOS DE DUITAMA S.A. E.S.P,RECAUDOS DIARIOS SERVICIOS PUBLICOS,10555545,0,240720,282129873,710253287,15070000269,24519768541,58500029174,179770000752,440101055101,RSP
12501.1.02.05.001.06.01.01 800301,2021/02/10,2021000024,EMPRESA DE SERVICIOS PUBLICOS DOMICILIARIOS DE DUITAMA S.A. E.S.P,RECAUDOS DIARIOS SERVICIOS PUBLICOS,6784478,0,240720,282129873,710253287,15070000269,24519768541,58500029174,179770000752,440101055101,RSP
12501.1.02.05.001.06.01.01 800301,2021/02/11,2021000025,EMPRESA DE SERVICIOS PUBLICOS DOMICILIARIOS DE DUITAMA S.A. E.S.P,RECAUDOS DIARIOS SERVICIOS PUBLICOS,6674901,282129873,710253287,15070000269,24519768541,58500029174,179770000752,440101055101,RSP
12501.1.02.05.001.06.01.01 800301,2021/02/12,2021000026,EMPRESA DE SERVICIOS PUBLICOS DOMICILIARIOS DE DUITAMA S.A. E.S.P,RECAUDOS DIARIOS SERVICIOS PUBLICOS,6019702,0,240720,282129873,710253287,15070000269,24519768541,58500029174,179770000752,220260721014,440101055101,RSP
12501.1.02.05.001.06.01.01 800301,2021/02/15,2021000027,EMPRESA DE SERVICIOS PUBLICOS DOMICILIARIOS DE DUITAMA S.A. E.S.P,RECAUDOS DIARIOS SERVICIOS PUBLICOS,2713239,0,240720,282129873,710253287,24519768541,58500029174,179770000752,440101055101,RSP
12501.1.02.05.001.06.01.01 800301,2021/02/16,2021000028,EMPRESA DE SERVICIOS PUBLICOS DOMICILIARIOS DE DUITAMA S.A. E.S.P,RECAUDOS DIARIOS SERVICIOS PUBLICOS,377184,0,240720,710253287,24519768541,58500029174,179770000752,440101055101,RSP
12501.1.02.05.001.06.01.01 800301,2021/02/22,2021000032,EMPRESA DE SERVICIOS PUBLICOS DOMICILIARIOS DE DUITAMA S.A. E.S.P,RECAUDOS DIARIOS SERVICIOS PUBLICOS,38209,15070000269,179770000752,220260721014,RSP
12501.1.02.05.001.06.01.01 800301,2021/02/23,2021000067,EMPRESA DE SERVICIOS PUBLICOS DOMICILIARIOS DE DUITAMA S.A. E.S.P,RECAUDOS DIARIOS SERVICIOS PUBLICOS,74530,0,240720,58500029174,179770000752,440101055101,RSP
12501.1.02.05.001.06.01.01 800301,2021/02/24,2021000068,EMPRESA DE SERVICIOS PUBLICOS DOMICILIARIOS DE DUITAMA S.A. E.S.P,RECAUDOS DIARIOS SERVICIOS PUBLICOS,500985,0,240720,710253287,15070000269,58500029174,179770000752,440101055101,RSP
12501.1.02.05.001.06.01.01 800301,2021/02/25,2021000033,EMPRESA DE SERVICIOS PUBLICOS DOMICILIARIOS DE DUITAMA S.A. E.S.P,RECAUDOS DIARIOS SERVICIOS PUBLICOS,1225575,0,9999,240720,710253287,15070000269,24519768541,58500029174,179770000752,440101055101,RSP
12501.1.02.05.001.06.01.01 800301,2021/02/26,2021000034,EMPRESA DE SERVICIOS PUBLICOS DOMICILIARIOS DE DUITAMA S.A. E.S.P,RECAUDOS DIARIOS SERVICIOS PUBLICOS,4759991,0,9999,240720,710253287,15070000269,24519768541,58500029174,179770000752,220260721014,440101055101,RSP
12501.1.02.05.001.06.01.01 800301,2021/02/27,2021000035,EMPRESA DE SERVICIOS PUBLICOS DOMICILIARIOS DE DUITAMA S.A. E.S.P,RECAUDOS DIARIOS SERVICIOS PUBLICOS,2882020,9999,24519768541,179770000752,RSP
